0.97,0.94,1.01,0.73,1,1,0.92,1.06,1
0.98,0.92,1,0.81,0.94,0.92,0.85,1.64,1
0.96,1.02,0.98,0.73,1.02,1.06,1.17,1.45,1
0.98,0.92,0.99,0.86,0.96,0.92,0.98,1.87,1
1.04,1.03,1,0.89,0.92,0.93,1.01,0.95,1
0.99,1.04,0.99,1.07,0.97,0.97,1.14,0.97,1
0.98,0.95,1.01,0.66,0.88,0.88,0.92,0.56,1
1,1.03,1,1.25,0.99,0.96,0.83,0.63,1
1.02,1.03,1,1.15,0.98,1.03,0.96,1.07,1
1.06,1.04,1.02,1.35,0.95,0.95,0.95,0.85,1
1.05,1.05,1.03,0.96,0.96,0.99,1.04,0.83,1
0.99,1.02,0.99,0.82,1.11,1.11,1.41,0.65,1
0.97,1.03,0.99,0.97,1.09,1.12,0.98,0.62,1
0.98,1.04,0.98,1.29,1.1,1.11,1.06,0.87,1
1.01,0.91,1,1.52,1.05,0.94,0.82,1.13,1
1.03,1.04,1,0.95,1.08,1.12,1.06,0.86,1
1.76,1.78,1.72,1.38,1.2,1.96,0.9,0.36,2
1.82,1.97,1.71,1.42,1.26,2.26,1.18,0.6,2
1.83,1.62,1.74,1.71,1.26,1.93,0.71,0.52,2
1.77,1.85,1.78,1.03,1.24,2.16,1.37,0.96,2
1.84,1.79,1.73,1.51,1.22,1.94,0.92,0.51,2
1.73,1.92,1.72,1.27,1.21,2.15,1.29,0.61,2
1.83,1.94,1.75,0.93,1.14,2.1,1.27,0.53,2
1.81,1.83,1.84,1.14,1.1,1.92,1.27,1.48,2
1.83,1.87,1.85,0.47,1.14,2.02,1.22,0.32,2
1.89,1.82,1.69,1.45,1.13,1.78,0.8,0.39,2
1.94,1.92,1.71,1.42,1.12,1.87,0.82,0.45,2
1.81,1.92,1.82,1.34,1.21,2.04,0.88,0.69,2
1.77,1.91,1.74,1.45,1.2,1.92,0.86,0.49,2
1.94,1.93,1.79,1.37,1.16,1.96,0.89,0.55,2
1.83,1.95,1.75,1.55,1.21,2.05,0.95,0.69,2
1.87,1.95,1.74,2,1.32,2.24,0.9,0.67,2
1.19,1.03,1.19,1.65,0.54,0.45,0.33,0.75,3
1.27,1.16,1.18,2.16,0.65,0.53,0.27,0.28,3
1.22,1.04,1.22,1,0.58,0.5,0.33,0.32,3
1.17,1.11,1.16,1.15,0.55,0.53,0.49,0.64,3
1.26,1.09,1.18,0.69,0.58,0.54,0.34,0.1,3
1.17,1.33,1.18,0.43,1.93,1.35,1.03,0.25,3
1.2,1.32,1.18,0.74,0.78,1.12,0.93,0.69,3
1.25,1.28,1.21,1.13,1.16,1.45,1.61,0.85,3
1.16,1.05,1.13,1.73,0.54,0.54,0.56,1.12,3
1.25,1.13,1.22,1.05,0.59,0.59,0.46,0.62,3
1.28,1.28,1.25,0.46,0.58,0.67,0.6,0.3,3
1.33,1.07,1.23,1.25,0.84,0.84,0.5,0.66,3
1.26,1.16,1.17,2.69,0.98,1.16,0.87,0.69,3
1.19,1.12,1.17,1.72,0.98,1.17,0.97,0.96,3
1.23,1.08,1.2,1.24,0.96,1.16,0.85,0.85,3
1.25,1.09,1.18,1.86,0.98,1.18,0.82,0.56,3
0.91,0.97,0.88,0.74,0.39,0.34,0.63,0.82,4
0.88,0.88,0.9,0.7,0.4,0.32,0.4,0.28,4
0.97,0.97,0.9,0.42,0.48,0.42,0.66,0.42,4
0.93,0.98,0.89,0.81,0.51,0.46,0.71,0.61,4
1,0.82,0.92,0.88,0.47,0.36,0.43,0.65,4
0.91,0.86,0.88,0.73,0.49,0.4,0.57,0.96,4
0.85,0.73,0.84,1.35,0.46,0.29,0.4,0.82,4
0.82,0.69,0.84,1.67,0.46,0.28,0.36,1.3,4
0.93,0.85,0.9,0.9,0.48,0.38,0.48,0.32,4
0.88,0.88,0.88,1.13,0.46,0.36,0.43,0.79,4
0.92,0.9,0.9,1.07,0.48,0.37,0.37,0.34,4
0.96,0.86,0.9,0.94,0.46,0.32,0.27,0.28,4
0.95,0.82,0.9,0.94,0.49,0.35,0.38,0.49,4
0.95,0.82,0.91,0.96,0.45,0.33,0.36,0.61,4
0.95,0.89,0.9,0.58,0.51,0.41,0.53,0.46,4
0.96,0.97,0.9,0.52,0.52,0.45,0.66,0.37,4
1.01,0.93,0.97,2.63,0.44,0.42,0.59,0.88,5
1.11,0.99,1.01,2.19,0.44,0.43,0.57,0.43,5
1.06,0.95,1.01,2.57,0.5,0.44,0.5,0.32,5
1.03,0.93,1.02,2.21,0.5,0.44,0.54,0.67,5
1.03,0.93,1.03,1.92,0.49,0.43,0.48,0.57,5
0.99,0.91,0.96,1.81,0.46,0.39,0.45,0.53,5
1,0.93,0.99,1.84,0.47,0.42,0.56,0.74,5
1.02,0.87,0.96,2.02,0.45,0.37,0.46,0.38,5
1.05,0.9,0.98,2.22,0.45,0.37,0.42,0.35,5
1.06,0.92,1.03,1.68,0.41,0.38,0.47,0.75,5
1.05,0.92,1.03,1.78,0.46,0.42,0.51,0.36,5
1.03,0.91,0.96,2.59,0.48,0.39,0.48,0.67,5
1.11,1.02,1,2.65,0.53,0.47,0.47,0.96,5
1.03,0.96,0.99,1.65,0.47,0.42,0.52,0.33,5
1.04,0.92,1.03,2.55,0.48,0.41,0.4,0.47,5
1.01,0.91,1.02,1.67,0.59,0.91,0.71,0.4,5
